|pred|actual
0| will break the vicious cycle of escalating therapeutic development costs and trivial escape mutant selection|break the vicious cycle of escalating therapeutic development costs and trivial escape mutant selection, both quickly and in multiple places.
1| alternative posttranslational and RNA-based antiviral approaches|alternative posttranslational and RNA-based antiviral approaches, designer vaccines, immunotherapy and the emerging field of neo-virology.
2||will enable the tapping of useful new biological functions and processes, methods for controlling infection, and the deployment of symbiotic or subclinical viruses in new therapies and biotechnologies that are so crucially needed.
3| stimulate expression of numerous host inflammatory factors|stimulate expression of numerous host inflammatory factors that support recruitment and activation of immune cells.
4| On the flip side, this same process also causes immunopathology when prolonged or deregulated|this same process also causes immunopathology when prolonged or deregulated.
5| maximising host subversion and viral infectivity at minimal informational cost|post-transcriptionally control expression of crucial inflammatory factors in various tissues and their potential therapeutic applications
6| tristetraprolin and AUF1|tristetraprolin and AUF1
7| promote degradation of AU-rich element (ARE)-containing mRNA|promote degradation of AU-rich element (ARE)-containing mRNA
8| tristetraprolin and AUF1|members of the Roquin and Regnase families
9| promote or effect degradation of mRNAs harbouring stem-loop structures|promote or effect degradation of mRNAs harbouring stem-loop structures
10| tristetraprolin and AUF1|RNA methylation machinery
11| controlling inflammatory mRNA stability|in controlling inflammatory mRNA stability.
12| various subcellular compartments|in various subcellular compartments
13|" differentially regulated during infection. In this way, mRNA-destabilising RBPs constitute a 'brake' on the immune system, which may ultimately be toggled therapeutically. I anticipate continued efforts in this area will lead to new methods of regaining control over inflammation in autoimmunity, selectively enhancing immunity in immunotherapy, and modulating RNA synthesis and virus replication during infection.

Another mRNA under post-transcriptional regulation by Regnase-1 and Roquin is Furin, which encodes a conserved proprotein convertase"|are differentially regulated
14| a 'brake' on the immune system|a 'brake' on the immune system
15| mRNA-destabilising RBPs|may ultimately be toggled therapeutically
16| new methods of regaining control over inflammation in autoimmunity|Another mRNA under post-transcriptional regulation by Regnase-1 and Roquin
17| Furin|Furin
18| conserved proprotein convertase|a conserved proprotein convertase crucial in human health and disease.
19| immune regulation, cancer|in immune regulation, cancer and the entry, maturation or release of a broad array of evolutionarily diverse viruses including human papillomavirus (HPV), influenza (IAV), Ebola (EboV), dengue (DenV) and human immunodeficiency virus (HIV)
20| the roles of furin in these processes, as well as the history and future of furin-targeting therapeutics|the roles of furin in these processes, as well as the history and future of furin-targeting therapeutics.
21| a growing disjunction, a 'Valley of Death' 1,2 no less, between broadening strides in fundamental biomedical research and their incommensurate reach into the clinic|how two IFN-cinducible factors exhibit broad-spectrum inhibition of IAV, measles (MV), zika (ZikV) and HIV by suppressing furin activity.
22| a recent boom in metagenomics|a recent boom in metagenomics and the cataloguing of the microbiome of our world.
23| directly sequence an RNA virus genome|to directly sequence an RNA virus genome (IAV)
24| a near-complete picture of the main armaments in the human antiviral arsenal|a near-complete picture of the main armaments in the human antiviral arsenal.
25| examination of the types and roles of viruses and antiviral defences|examination of the types and roles of viruses and antiviral defences that exist throughout our biosphere.
26| a revolutionary gene-editing biotechnology in plants and animals|as a revolutionary gene-editing biotechnology in plants and animals.
27| CRISPR/Cas antiviral immune system of prokaryotes|the ancient lineage of nucleocytosolic large DNA viruses (NCLDVs)
28| nucleocytosolic large DNA viruses|emerging human pathogens that possess enormous genomes of up to several megabases in size encoding hundreds of proteins with unique and unknown functions.
29| the true number may be in the millions|the true number may be in the millions and many harbour zoonotic potential.
30| an emerging field engaged in cataloguing and characterising this biodiversity through a global consortium|an emerging field engaged in cataloguing and characterising this biodiversity through a global consortium.
31| a vast wealth of currently unexplored biodiversity|a vast wealth of currently unexplored biodiversity, leading to biotechnologies and treatments that leverage the host-virus interactions developed throughout evolution.
32| Supporting industry-academia collaboration and nurturing talent and skills in the Indo-Pacific region|Supporting industry-academia collaboration and nurturing talent and skills in the Indo-Pacific region
33| antimicrobial resistance, global health and health security, drug repurposing and translational research infrastructure|antimicrobial resistance, global health and health security, drug repurposing and translational research infrastructure,
34||Establishing durable international relationships that integrate diverse expertise
35| translating the biomedical research output of that country|translating the biomedical research output of that country.
36| whether or not our seasonal or pandemic flu might have another reservoir host|as to whether or not our seasonal or pandemic flu might have another reservoir host.
37| bunyavirus|Bat is believed to harbor many more viruses than we ever thought as a reservoir host or even a susceptible host
38| SFTSV|potential human infecting HKU-1, 4, 5 and 9 [17, 18] . Recent MERS-CoV infection is another example for severe disease caused by used-to-be-less pathogenic coronaviruses. Shi and colleagues [19] by using NGS have discovered many unknown animal viruses from bat, especially some important paramyxoviruses and reoviruses. Filovirus has also been identified in bat with potential severe outcomes. Lyssaviruses (with many genotypes, including rabies virus) in the Rhabdoviridae family have been linked with severe fatal human cases, even in the developed countries, including Australia, with the bites of bats in the city [20, 21] .
39| real-time reverse transcription polymerase chain reaction|reverse transcription polymerase chain reaction (RT-PCR)
40| exponential|exponential growth pattern
